All,全部,module,Magento_AdminGws
None,無,module,Magento_AdminGws
"Allowed Scopes",允許的範圍,module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","你需要更多的許可權來刪除此專案: %1。",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.",你需要更多的許可權應用一些規則的更新。,module,Magento_AdminGws
"Please assign this entity to a store view.",請指定這個商店檢視。,module,Magento_AdminGws
"You can create orders only in an active store.",您只能在有效的商店內建立訂單。,module,Magento_AdminGws
"Please assign this item to a store view.",請將此專案分配給儲存檢視。,module,Magento_AdminGws
"You need more permissions to save this item.",你需要更多的許可權，無法儲存此專案。,module,Magento_AdminGws
"You need more permissions to delete this item.",你需要更多的許可權來刪除此專案。,module,Magento_AdminGws
"You need more permissions to view this item.",您需要更多的許可權才能檢視此項。,module,Magento_AdminGws
"Please specify at least one website or one store group.",請指定至少一個網站或一個商店組。,module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.",您需要更多的許可權，才能將所有作用域設定到一個角色。,module,Magento_AdminGws
"Incorrect website ID: %1","不正確的網站編號 ID: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","你需要更多的許可權來訪問網站""%1""。",module,Magento_AdminGws
"Incorrect store ID: %1","不正確的商店編號 ID: %1",module,Magento_AdminGws
"You need more permissions to save this setting.",你需要更多的許可權，以儲存該設定。,module,Magento_AdminGws
"Role Scopes",角色作用範圍,module,Magento_AdminGws
Custom,自定義,module,Magento_AdminGws
"Read Details",檢視詳情,module,Magento_AdminNotification
"Mark as Read",標記為已讀,module,Magento_AdminNotification
"Are you sure?",您確定嗎？,module,Magento_AdminNotification
Remove,刪除,module,Magento_AdminNotification
"Messages Inbox",訊息收件箱,module,Magento_AdminNotification
"You have %1 new system messages","你有 %1 新系統訊息",module,Magento_AdminNotification
"You have %1 new system message","你有 %1 新系統訊息",module,Magento_AdminNotification
"Incoming Message",傳入訊息,module,Magento_AdminNotification
close,關閉,module,Magento_AdminNotification
Notifications,通知訊息,module,Magento_AdminNotification
"The message has been marked as Read.",郵件已標記為已讀。,module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.",我們不能因為一個錯誤標記為已讀通知。,module,Magento_AdminNotification
"Please select messages.",請選擇郵件。,module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","共有 %1 條記錄已標記為已讀。",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","共有 %1 條記錄已被刪除。",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.",由於發生錯誤，我們不能刪除的訊息。,module,Magento_AdminNotification
"The message has been removed.",該訊息已被刪除。,module,Magento_AdminNotification
"1 Hour","1 小時",module,Magento_AdminNotification
"2 Hours","2 個小時",module,Magento_AdminNotification
"6 Hours","6 個小時",module,Magento_AdminNotification
"12 Hours","12 個小時",module,Magento_AdminNotification
"24 Hours","24 小時",module,Magento_AdminNotification
critical,嚴重,module,Magento_AdminNotification
major,重要,module,Magento_AdminNotification
minor,次要,module,Magento_AdminNotification
notice,通知,module,Magento_AdminNotification
"Wrong message type",錯誤訊息型別,module,Magento_AdminNotification
"Wrong notification ID specified.","指定的錯誤通知 ID。",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} 不建議在生產環境中使用申報基地不安全 '' URL / 基地安全網址。我們強烈建議您更改此值在你的 Magento '' <a href=""%1""> 配置</a>。",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","一個或多個快取型別將失效: %1。",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","請跳轉至 <a href=""%1""> 快取管理</a> 並重新整理快取型別。",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.",我們未能同步一個或多個媒體檔案。請參閱日誌檔案中的詳細資訊。,module,Magento_AdminNotification
"Synchronization of media storages has been completed.",媒體庫同步已完成。,module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","您的 web 伺服器的設定不正確，並允許對敏感檔案的未經授權訪問。'' 請聯絡您的託管服務提供商。",module,Magento_AdminNotification
"System Messages:",系統訊息:,module,Magento_AdminNotification
"Critical System Messages",關鍵系統訊息,module,Magento_AdminNotification
"Major System Messages",主要系統訊息,module,Magento_AdminNotification
"System messages",系統訊息,module,Magento_AdminNotification
Close,關閉,module,Magento_AdminNotification
"See All (","檢視所有 (",module,Magento_AdminNotification
unread),未讀),module,Magento_AdminNotification
"Show Toolbar",顯示工具欄,module,Magento_AdminNotification
"Show List",顯示列表,module,Magento_AdminNotification
"Use HTTPS to Get Feed","使用 HTTPS 來得到訂閱源",module,Magento_AdminNotification
"Update Frequency",更新頻率,module,Magento_AdminNotification
"Last Update",最近更新,module,Magento_AdminNotification
Severity,嚴重程度,module,Magento_AdminNotification
"Date Added",釋出日期,module,Magento_AdminNotification
Message,資訊,module,Magento_AdminNotification
Actions,動作,module,Magento_AdminNotification
"Manage Shopping Cart",管理購物車,module,Magento_AdvancedCheckout
"Create Order",建立訂單,module,Magento_AdvancedCheckout
Back,後退,module,Magento_AdvancedCheckout
"Add Products",新增商品,module,Magento_AdvancedCheckout
"Update Items and Quantities",更新商品及數量,module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?",確實要清除您的購物車嗎?,module,Magento_AdvancedCheckout
"Clear my shopping cart",清空我的購物車,module,Magento_AdvancedCheckout
"Add selections to my cart",將選項新增到我的購物車,module,Magento_AdvancedCheckout
Cancel,取消,module,Magento_AdvancedCheckout
"Shopping Cart for %1 in %2","在 %2 %1 的購物車",module,Magento_AdvancedCheckout
"Select products you want to buy",選擇你想要買的商品,module,Magento_AdvancedCheckout
Product,商品,module,Magento_AdvancedCheckout
Price,價格,module,Magento_AdvancedCheckout
Quantity,數量,module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","在比較列表中的商品 (%1)",module,Magento_AdvancedCheckout
"Last ordered items (%1)","最後訂購的商品 (%1)",module,Magento_AdvancedCheckout
Products,商品,module,Magento_AdvancedCheckout
ID,編號ID,module,Magento_AdvancedCheckout
SKU,商品編號SKU,module,Magento_AdvancedCheckout
"Recently Compared Products (%1)","近期比較的商品 (%1)",module,Magento_AdvancedCheckout
"Recently Viewed Products (%1)","近期瀏覽過的商品 (%1)",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU",根據商品編號SKU新增到購物車,module,Magento_AdvancedCheckout
"Add to Shopping Cart",新增到購物車,module,Magento_AdvancedCheckout
